Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biological Engineering, Department of","Biological Engineering, Department of",32,69,1,0,5,10,39,0
"Biological Engineering, Department of","Biology, Department of",28,69,3,0,10,10,13,0
"Biological Engineering, Department of","Brain and Cognitive Sciences, Department of",12,19,0,0,4,6,9,2
"Biological Engineering, Department of","Chemical Engineering, Department of",15,62,0,0,3,2,85,0
"Biological Engineering, Department of","Chemistry, Department of",15,43,0,0,0,2,8,0
"Biological Engineering, Department of","Civil and Environmental Engineering, Department of",3,4,0,0,0,0,0,0
"Biological Engineering, Department of","Earth, Atmospheric and Planetary Sciences, Department of",7,4,0,0,0,1,0,0
"Biological Engineering, Department of","Electrical Engineering and Computer Sciences, Department of",19,23,0,0,3,3,11,0
"Biological Engineering, Department of","Institute for Data, Systems, and Society (IDSS)",4,7,0,0,0,0,1,1
"Biological Engineering, Department of",Institute for Medical Engineering and Science (IMES),14,52,0,0,1,3,69,1
"Biological Engineering, Department of","Management, Sloan School of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","Marine Chemistry and Geochemistry, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","Materials Science and Engineering, Department of",9,7,0,0,1,3,1,0
"Biological Engineering, Department of","Mathematics, Department of",2,7,0,0,0,0,1,0
"Biological Engineering, Department of","Mechanical Engineering, Department of",13,48,0,0,3,5,53,0
"Biological Engineering, Department of","Media Arts and Sciences, Program in",4,2,1,0,0,0,1,0
"Biological Engineering, Department of","Physics, Department of",6,9,0,0,2,1,1,0
"Biological Engineering, Department of","Urban Studies and Planning, Department of",1,1,0,0,0,0,0,0