Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Comparative Media Studies/Writing Section,Massachusetts Institute of Technology,Comparative Media Studies/Writing Section,8,8,6,0,5,3,0,0
Comparative Media Studies/Writing Section,California Institute of Technology,"Astronomy, Department of",1,0,1,0,0,0,0,0
Comparative Media Studies/Writing Section,California Institute of Technology,"Physics, Department of",1,0,1,0,0,0,0,0
Comparative Media Studies/Writing Section,Carnegie Mellon University,"Psychology, Department of",1,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,Carnegie Mellon University,Human-Computer Interaction Institute,2,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,Carnegie Mellon University,Language Technology Institute,1,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,Case Western Reserve University,"Chemistry, Department of",1,0,0,0,0,1,0,0
Comparative Media Studies/Writing Section,Clemson University,"Industrial Engineering, Department of",1,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,Clemson University,"Materials Science and Engineering, Department of",1,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,Clemson University,"Civil and Environmental Engineering and Earth Sciences, School of",1,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,Cornell University,"Asian Studies, Department of",1,0,1,0,0,0,0,0
Comparative Media Studies/Writing Section,Indiana University - Bloomington,"Curriculum and Instruction, Department of",1,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,Indiana University - Bloomington,"Learning, Design, and Adult Education, Department of",1,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,Indiana University - Bloomington,"Informatics, Department of",1,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,New York University,"Teaching and Learning, Department of",2,0,0,0,0,1,0,0
Comparative Media Studies/Writing Section,Northeastern University,"Art + Design, Department of",1,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,Northeastern University,"Computer Sciences, Khoury College of",1,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,Oakland University,"Teaching and Learning, Department of",1,2,0,0,0,0,0,0
Comparative Media Studies/Writing Section,Southern Methodist University,"Teaching and Learning, Department of",1,0,0,0,0,1,0,0
Comparative Media Studies/Writing Section,Stanford University,"Computer Science, Department of",1,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"University at Buffalo, State University of New York","Computer Science and Engineering, Department of",1,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,Syracuse University,"English, Department of",1,0,1,0,0,0,0,0
Comparative Media Studies/Writing Section,University of Texas Arlington,"Teacher and Administrator Preparation, Department of",1,2,0,0,0,0,0,0
Comparative Media Studies/Writing Section,"University of Texas at Austin, The","Computer Sciences, Department of",1,0,1,0,0,0,0,0
Comparative Media Studies/Writing Section,"University of Arizona, The","Optical Sciences, College of",1,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"University of California, Irvine","Anthropology, Department of",1,0,1,0,0,0,0,0
Comparative Media Studies/Writing Section,University of Central Florida,"Communication and Media, Nicholson School of",1,1,0,0,2,0,0,0
Comparative Media Studies/Writing Section,"University of Maryland, College Park","English, Department of",1,0,1,0,0,0,0,0
Comparative Media Studies/Writing Section,University of Michigan,"Information, School of",1,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,University of Michigan,"Computer Science and Engineering, Division of",1,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,University of North Carolina at Chapel Hill,"Information and Library Science, School of",1,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,University of Pennsylvania,"Education (GSE), Graduate School of",1,0,0,0,0,1,0,0
Comparative Media Studies/Writing Section,University of Rhode Island,"Education, College of",1,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,University of Washington,"Computer Science & Engineering, Paul G. Allen School of",1,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,University of Wisconsin - Madison,"Curriculum and Instruction, Department of",1,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,Washington University in St. Louis,"Computer Science and Engineering, Department of",1,0,1,0,0,0,0,0
Comparative Media Studies/Writing Section,Washington University in St. Louis,"Film and Media Studies, Program in",1,0,1,0,0,0,0,0